topology,seed,riskS_mean,belief_var_mean,gini_mean,abs_ret_mean,dP_mean,gate_mean,stable_hit,time_to_stability
scale_free_extreme,3,5.002737018625288,0.0006852860347848376,0.23325027003791063,0.0018580395784057926,0.004562274473510346,0.39929854079969096,1,29
scale_free_extreme,4,3.889852330122503,0.0006716171366817644,0.23121520887229663,0.0017008353192195472,0.004569070596240067,0.43285639139371007,1,29
scale_free_extreme,5,5.21627232207997,0.0006683110572944295,0.23290189704947245,0.002021399351533714,0.004575203622256476,0.4006917476113632,1,176
scale_free_extreme,6,42.29613616722087,0.0006702979682928068,0.22671873687487662,0.005330324019290091,0.004565019587462411,0.29008778638561283,1,29
scale_free_extreme,7,3.433791498378876,0.000676208376117228,0.2350216337401525,0.0016130210585823485,0.0045668917523681305,0.4467482729330463,1,29
scale_free_extreme,8,4.882855616766495,0.0006650929204228218,0.23172776908422152,0.0019512065867384725,0.004573104459717665,0.4029771147477453,1,29
scale_free_extreme,9,5.820705624226084,0.0006766265755153994,0.23089818204645587,0.0021399790055876035,0.004562489998611477,0.37780588479005656,1,29
small_world_clustered,0,4.486240299695614,0.0006883373612999494,0.22702857034449955,0.0018475310437139,0.004550876439193479,0.4160410137176438,1,29
small_world_clustered,1,5.114727701595396,0.0006734904605170335,0.22333210543025678,0.0020436206884420324,0.004567099305825464,0.39629230019259054,1,29
small_world_clustered,10,22.025537715267696,0.0006847500897537732,0.22524065660678752,0.0037843589451851335,0.004561026167147052,0.28999882882044054,1,29
small_world_clustered,11,8.048531144055465,0.0006832898005342517,0.22795415265568983,0.0024441479426416004,0.004556231763041903,0.3303606785722859,0,-1
small_world_clustered,12,5.763605526001394,0.0006723680801043146,0.22486178951216224,0.0020257471146397778,0.004556867073366154,0.37858687971235155,1,29
small_world_clustered,13,8.526232063350381,0.0006838103357488103,0.22541299146031876,0.002487504545048895,0.004562229059552856,0.3704618474881369,1,29
small_world_clustered,14,10.5997543929057,0.0006827838380364729,0.22861395237729185,0.002821794957191574,0.004551480188294647,0.316858961258215,1,29
small_world_clustered,15,5.021562970003165,0.0006801447423596734,0.22449532481277332,0.0019624755475350993,0.004562539957547279,0.39912959417446003,1,29
small_world_clustered,16,7.172259146811311,0.0006805629177509576,0.22654264472831698,0.0023524369850522007,0.00456566632426712,0.3807175771117785,1,29
small_world_clustered,17,8.435880405363612,0.0006797045514912626,0.2270336003234065,0.002499189773629601,0.004566375177423521,0.344252468599053,1,29
small_world_clustered,18,7.08753350080878,0.0006638539219550748,0.22200970259396585,0.00226875362136801,0.004572754375577162,0.35603522162338086,1,29
small_world_clustered,19,7.434942849990712,0.0006744683735780243,0.22450700778982607,0.002245021981467214,0.004558590806246986,0.35976392006778257,1,29
small_world_clustered,2,5.866526872941015,0.0006752714791616545,0.22411559097393036,0.002116891210987681,0.004562818992833792,0.3746247830131844,1,323
small_world_clustered,3,3.642604415640908,0.0006843808291168585,0.2286400514240754,0.0016928035205384113,0.004560956017045294,0.4403083620861043,1,29
small_world_clustered,4,19.517841182763355,0.0006877224961577232,0.22653334159868582,0.0037684756677668963,0.004564928287848601,0.3204798992408435,1,29
small_world_clustered,5,4.093540703977107,0.0006765631791344925,0.22382583898010297,0.0016980273128076912,0.004568778328406467,0.4274681794179563,1,29
small_world_clustered,6,8.626022255096148,0.0006756878703016492,0.2228842479010419,0.002557464216532862,0.004563671575418694,0.3226803643666585,0,-1
small_world_clustered,7,6.407817519523445,0.0006737483881928526,0.22789474289315897,0.0020289652080564425,0.004573331796626531,0.3882829440456201,1,29
