topology,seed,riskS_mean,belief_var_mean,gini_mean,abs_ret_mean,stable_hit,time_to_stability
scale_free_extreme,13,18.070800701523023,0.0006937284906860689,0.5582675108704559,0.003592256160176796,1,29
scale_free_extreme,14,2.7622479339180233,0.0006850522120229809,0.6735746681520076,0.001403196253089059,1,29
scale_free_extreme,15,8.6060731032516,0.0006807424296965747,0.6517399534621174,0.0025942646388949163,1,29
scale_free_extreme,16,5.217891047744635,0.0006785898188338304,0.7090383510720787,0.001871214015523417,1,29
scale_free_extreme,17,58.93016005460529,0.0006963058339722785,0.7026066427431183,0.006150239544590038,1,29
scale_free_extreme,18,6.051135382936861,0.0006894090121923101,0.6874173714760536,0.002112610943776225,1,29
scale_free_extreme,19,8.348530456804808,0.0006800331507688567,0.7003917657361936,0.002173753239706389,1,29
scale_free_extreme,2,7.072348712643161,0.0006935004204808085,0.6672956899528869,0.002425943840786739,1,29
scale_free_extreme,3,6.247403747813289,0.0006941642418166436,0.612782019698737,0.001993377042268662,1,29
scale_free_extreme,4,19.82401622942374,0.0006778979486502564,0.6997167097829439,0.003816721350870748,1,29
scale_free_extreme,5,6.02256297841637,0.0006796189971085856,0.7298080139570124,0.002039610340426203,1,29
scale_free_extreme,6,6.096722940196664,0.0006880562312817199,0.6777593666560034,0.002242591886983917,1,29
scale_free_extreme,7,26.54066345128935,0.000694408150371117,0.6324598658780847,0.0045537616598676535,1,29
scale_free_extreme,8,27.003048932029106,0.0006833441760724171,0.6343673600702698,0.004496598353199862,1,29
scale_free_extreme,9,9.579835910810987,0.0006972035987475164,0.6450837303823519,0.0025275845976587773,1,29
small_world_clustered,0,5.732731018049654,0.000729748193096021,0.13952521089251352,0.0019409535390847513,1,29
small_world_clustered,1,4.434912769839366,0.0007127075522841012,0.12828718441976278,0.001740718125954164,1,29
small_world_clustered,10,5.674735942678762,0.0007332142005193714,0.14644002854221622,0.0020714871660825617,1,29
small_world_clustered,11,6.494674781681426,0.00072203448659372,0.13643637912107082,0.0022183760194503686,1,29
small_world_clustered,12,8.638051559740441,0.0007184177590787474,0.16243274430552757,0.0025189492913949897,1,29
small_world_clustered,13,17.184893085542303,0.0007078871652864804,0.13574765015804907,0.0035077123369149387,1,29
small_world_clustered,14,2.6557518913974394,0.000716224595101779,0.13797035684923248,0.0013649817894116631,1,29
small_world_clustered,15,8.802586964487157,0.000711452551780807,0.12941765168774438,0.0026251463414948117,1,29
small_world_clustered,16,5.122274832166556,0.0007172653068883522,0.16486991159790776,0.001862358759623657,1,29
small_world_clustered,17,55.76203572454913,0.0007418343289359045,0.14180260920507703,0.005993560388196984,1,29
small_world_clustered,18,5.824400775046231,0.0007123773036537709,0.14853662418314673,0.0020742874182679686,1,29
small_world_clustered,19,8.341471234800899,0.0007130692830646052,0.14274812318530156,0.0021724115415720936,1,29
small_world_clustered,2,7.302411377975209,0.0007132967810369239,0.12752852791364044,0.0024746651425805303,1,29
small_world_clustered,3,5.954174106363557,0.0007236340367000424,0.12750619725858026,0.0019472411531569758,1,29
small_world_clustered,4,19.78326434925145,0.0007234333574169352,0.154906911227417,0.003818230832725525,1,29
small_world_clustered,5,5.972540948251346,0.0007133135792619505,0.1501817017407845,0.0020151735602585556,1,29
small_world_clustered,6,6.049933148542968,0.0007126108354850665,0.14188566541589265,0.002225501916531361,1,29
small_world_clustered,7,27.154261190488484,0.0007154641260481933,0.131579431451938,0.004616679555762447,1,29
small_world_clustered,8,27.334763732999136,0.0007097081720021763,0.1481802533028267,0.004529300218426453,1,29
small_world_clustered,9,9.56210062499041,0.0007275777434547141,0.15585839856657874,0.0025282986653558364,1,29
