topology,seed,riskS_mean_baseline,belief_var_mean_baseline,gini_mean_baseline,abs_ret_mean_baseline,stable_hit_baseline,time_to_stability_baseline,riskS_mean_policy,belief_var_mean_policy,gini_mean_policy,abs_ret_mean_policy,dP_mean,gate_mean,stable_hit_policy,time_to_stability_policy,delta_riskS_mean,delta_belief_var_mean,delta_abs_ret_mean,delta_gini_mean
random_fixed,8,27.30895423772328,0.0006905178274954,0.2604360263079269,0.004529733735616,1,29,5.363222181393407,0.0006683804658783896,0.23057511178719217,0.002108364586893929,0.004562255554994188,0.4078373906122147,1,29,-21.945732056329874,-2.2137361617010406e-05,-0.0024213691487220707,-0.02986091452073472
random_fixed,9,9.611260195913772,0.0007013650940654,0.2417742371846598,0.0025327393977789,1,29,3.604640609633792,0.0006832002905531334,0.22562439150648472,0.0015981850950501245,0.004576334010695977,0.4412981261114453,1,29,-6.00661958627998,-1.816480351226658e-05,-0.0009345543027287756,-0.016149845678175068
scale_free_extreme,0,5.80160608193425,0.0006801123940267,0.6825189138194137,0.0019611530460086,1,29,8.288380788913187,0.0006620872508136141,0.22967406454775252,0.002434015401974857,0.0045652809710584,0.332636579405948,1,29,2.486774706978937,-1.8025143213085885e-05,0.000472862355966257,-0.45284484927166113
scale_free_extreme,1,4.533963005601355,0.0006774871401054,0.6956051998437038,0.0017579379597572,1,29,7.115597905410668,0.0006665862241003775,0.23118334624805612,0.002346538701437841,0.004556933901870837,0.35443033033777654,1,29,2.5816348998093135,-1.0900916005022478e-05,0.000588600741680641,-0.4644218535956477
scale_free_extreme,10,5.881493248399957,0.000691780091804,0.6795693309404534,0.0021244879845995,1,29,9.196416935334316,0.0006827981045430711,0.22995620517843218,0.00259601265269188,0.004572076831983514,0.32823397109224955,1,29,3.3149236869343586,-8.981987260928853e-06,0.0004715246680923801,-0.44961312576202117
scale_free_extreme,11,6.906696144827008,0.0006875744553359,0.6376091122014662,0.0022829652884097,1,29,32.23374675938446,0.0006786796447942034,0.2343646451525281,0.004911019707696012,0.00456115307054781,0.2844165848010915,1,29,25.32705061455745,-8.894810541696546e-06,0.002628054419286312,-0.4032444670489381
scale_free_extreme,12,8.821481046721994,0.0006806979296183,0.7058207974216373,0.0025356040613835,1,29,4.727748153853468,0.0006625681637784201,0.2298572651761136,0.0018064891739284416,0.004563867300623997,0.40921150522081023,1,29,-4.093732892868526,-1.8129765839879877e-05,-0.0007291148874550585,-0.4759635322455237
scale_free_extreme,13,18.070800701523023,0.000693728490686,0.5582675108704559,0.0035922561601767,1,29,4.701427049514789,0.0006861670131286305,0.22861376055255722,0.0018044431494088095,0.0045692882081432564,0.4083095982065542,1,29,-13.369373652008234,-7.561477557369522e-06,-0.0017878130107678903,-0.3296537503178987
scale_free_extreme,14,2.7622479339180237,0.0006850522120229,0.6735746681520076,0.001403196253089,1,29,5.716499394548485,0.000673811668785673,0.23465601147690987,0.0020657265852867825,0.0045660564995057195,0.38237427444854866,1,29,2.9542514606304615,-1.1240543237227047e-05,0.0006625303321977825,-0.4389186566750978
scale_free_extreme,15,8.6060731032516,0.0006807424296965,0.6517399534621174,0.0025942646388949,1,29,11.630951230081774,0.0006779673646015039,0.2311766973349529,0.002946165378796845,0.004561891423456379,0.356407399896553,1,29,3.024878126830174,-2.775065094996125e-06,0.0003519007399019453,-0.4205632561271645
scale_free_extreme,16,5.217891047744635,0.0006785898188338,0.7090383510720787,0.0018712140155234,1,29,5.250697501275916,0.0006716507784617392,0.2323245679300774,0.002087548224824364,0.004571834264260708,0.41181995272873,1,29,0.032806453531280866,-6.939040372060806e-06,0.00021633420930096381,-0.4767137831420013
scale_free_extreme,17,58.93016005460529,0.0006963058339722,0.7026066427431183,0.00615023954459,1,29,7.666204117038985,0.0006766995633548373,0.23473505699263206,0.0024495263094964524,0.004560335394702743,0.33842540494600937,1,29,-51.2639559375663,-1.960627061736275e-05,-0.0037007132350935475,-0.46787158575048626
scale_free_extreme,18,6.051135382936861,0.0006894090121923,0.6874173714760536,0.0021126109437762,1,29,4.281568846908977,0.0006654879553736913,0.2292737067267938,0.0017261758820993288,0.0045531568204834685,0.42089662762915714,1,29,-1.7695665360278845,-2.3921056818608727e-05,-0.00038643506167687115,-0.4581436647492598
scale_free_extreme,19,8.348530456804808,0.0006800331507688,0.7003917657361936,0.0021737532397063,1,29,5.213983893193947,0.0006781594621930091,0.23322104290504556,0.0019306441168351035,0.0045633390947744205,0.39301151808477486,1,29,-3.1345465636108605,-1.873688575790896e-06,-0.00024310912287119654,-0.467170722831148
scale_free_extreme,2,7.072348712643161,0.0006935004204808,0.6672956899528869,0.0024259438407867,1,29,6.839387707545564,0.0006806674477427153,0.2330736179994209,0.002200432537998887,0.004566583876951379,0.35699350249442546,1,29,-0.23296100509759743,-1.283297273808469e-05,-0.0002255113027878129,-0.434222071953466
